,keyword,date,text
0,第一建設工業,Wed Feb 06 22:07:08 +0000 2019,第一建設工業が100万相当の物品寄贈（新潟建設新聞）- https://t.co/2A6N187SqR
1,第一建設工業,Wed Feb 06 13:34:23 +0000 2019,RT @gatatetsu: H30.10/10早朝JR上越線五日町駅付近で一瞬顔合わせした2両のプラッサーマルタイ東鉄工業MTT(09-16CSM)+BR(KSP2002E)&amp;第一建設工業UMT(08-475)控えめに行って最高でした https://t.co/o4c1…
2,第一建設工業,Tue Feb 05 09:32:53 +0000 2019,第一建設工業【1799】、4-12月期(3Q累計)経常は8％減益も対通期進捗は過去平均を超過 | 決算速報 - 株探ニュース https://t.co/cloSJMOhT5
3,第一建設工業,Tue Feb 05 06:19:44 +0000 2019,【決算サマリーVisual】(1799)第一建設工業の18年4～12月期、税引き利益7.7%減28億円 https://t.co/1SeDRTtEMV
4,第一建設工業,Tue Feb 05 06:05:32 +0000 2019,"第一建設工業(1799)個19/03Q3:売 37,221(+1.4%):純 2,842(-7.7%)19/03通予:売 48,000(-5.2%):純 3,300(-26.0%)"
5,第一建設工業,Sun Feb 03 17:34:20 +0000 2019,"2/5 決算発表予定1332 日本水産 3Q 13:00 *11:301722 ミサワホーム 3Q 15:00 *15:301726 ビーアールホールディングス 3Q 16:00 *12:00,14:00,13:0017… https://t.co/GFGRvL4eBS"
6,第一建設工業,Sun Feb 03 09:02:20 +0000 2019,お、テレビ信州でもバンキシャで第一建設工業のCMやってる
7,第一建設工業,Fri Feb 01 11:13:38 +0000 2019,RT @gatatetsu: H30.10/10早朝JR上越線五日町駅付近で一瞬顔合わせした2両のプラッサーマルタイ東鉄工業MTT(09-16CSM)+BR(KSP2002E)&amp;第一建設工業UMT(08-475)控えめに行って最高でした https://t.co/o4c1…
8,第一建設工業,Tue Jan 29 10:05:01 +0000 2019,【買いシグナル多数銘柄】(1/29)買い8指標…[2462]ライク買い7指標…[1982]日比谷総合設備買い7指標…[5352]黒崎播磨買い7指標…[7621]うかい買い6指標…[1799]第一建設工業 https://t.co/mQnRY96DLe
