,Unnamed: 0,keyword,date,text,score
18,18,一正蒲鉾,Thu Feb 07 17:39:35 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
19,19,一正蒲鉾,Thu Feb 07 17:38:19 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
20,20,一正蒲鉾,Thu Feb 07 17:34:08 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
21,21,一正蒲鉾,Thu Feb 07 17:32:44 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
22,22,一正蒲鉾,Thu Feb 07 17:31:54 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
23,23,一正蒲鉾,Thu Feb 07 17:30:23 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
24,24,一正蒲鉾,Thu Feb 07 17:29:33 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
25,25,一正蒲鉾,Thu Feb 07 17:23:27 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
26,26,一正蒲鉾,Thu Feb 07 17:22:21 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
27,27,一正蒲鉾,Thu Feb 07 17:20:58 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
28,28,一正蒲鉾,Thu Feb 07 17:20:42 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
29,29,一正蒲鉾,Thu Feb 07 17:19:50 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
30,30,一正蒲鉾,Thu Feb 07 17:18:30 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
31,31,一正蒲鉾,Thu Feb 07 17:15:48 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
32,32,一正蒲鉾,Thu Feb 07 17:11:18 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
33,33,一正蒲鉾,Thu Feb 07 17:06:44 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
34,34,一正蒲鉾,Thu Feb 07 17:04:27 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
35,35,一正蒲鉾,Thu Feb 07 17:03:10 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
36,36,一正蒲鉾,Thu Feb 07 17:03:08 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
37,37,一正蒲鉾,Thu Feb 07 17:03:02 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
38,38,一正蒲鉾,Thu Feb 07 16:59:43 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
39,39,一正蒲鉾,Thu Feb 07 16:58:08 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
40,40,一正蒲鉾,Thu Feb 07 16:57:57 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
41,41,一正蒲鉾,Thu Feb 07 16:57:00 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
42,42,一正蒲鉾,Thu Feb 07 16:55:19 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
43,43,一正蒲鉾,Thu Feb 07 16:52:00 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
44,44,一正蒲鉾,Thu Feb 07 16:50:01 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
45,45,一正蒲鉾,Thu Feb 07 16:50:00 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
46,46,一正蒲鉾,Thu Feb 07 16:49:17 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
47,47,一正蒲鉾,Thu Feb 07 16:48:14 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
48,48,一正蒲鉾,Thu Feb 07 16:48:00 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
49,49,一正蒲鉾,Thu Feb 07 16:47:57 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
50,50,一正蒲鉾,Thu Feb 07 16:47:02 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
51,51,一正蒲鉾,Thu Feb 07 16:45:11 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
52,52,一正蒲鉾,Thu Feb 07 16:44:19 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
53,53,一正蒲鉾,Thu Feb 07 16:43:18 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
54,54,一正蒲鉾,Thu Feb 07 16:42:49 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
55,55,一正蒲鉾,Thu Feb 07 16:39:47 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
56,56,一正蒲鉾,Thu Feb 07 16:38:37 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
57,57,一正蒲鉾,Thu Feb 07 16:37:22 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
58,58,一正蒲鉾,Thu Feb 07 16:34:05 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
