,Unnamed: 0,keyword,date,text,score
0,0,シップヘルスケアホールディングス,Thu Feb 07 02:12:00 +0000 2019,2/6 逆日歩日数 1日3302 帝国繊維 0.05円3309 積水ハウス・リート投資法人 5.00円3320 クロスプラス 0.05円3329 東和フードサービス 0.05円3360 シップヘルスケアホールディングス… https://t.co/YuL4mJByx7,2
1,1,シップヘルスケアホールディングス,Thu Feb 07 02:11:47 +0000 2019,[変更報告]＜3360＞シップヘルスケアホールディングス　2019年2月7日 11:11に野村證券が提出　保有割合 6.55%(+0.07%) #シップヘルスケアホールディングス https://t.co/o4mmZAwA60,0
2,2,シップヘルスケアホールディングス,Wed Feb 06 02:12:01 +0000 2019,2/5 逆日歩日数 4日3302 帝国繊維 0.20円3309 積水ハウス・リート投資法人 20.00円3320 クロスプラス 0.20円3329 東和フードサービス 0.20円3360 シップヘルスケアホールディング… https://t.co/fN8kJu5TZD,2
3,3,シップヘルスケアホールディングス,Tue Feb 05 06:05:53 +0000 2019,シップヘルスケアホールディングス(株)[33600]平成31年３月期　第３四半期決算短信〔日本基準〕（連結）2019/02/05 15:00https://t.co/m7ZpcDm9QS,1
4,4,シップヘルスケアホールディングス,Tue Feb 05 06:03:59 +0000 2019,シップヘルスケアホールディングス(株)[33600]平成31年３月期　第３四半期決算短信〔日本基準〕（連結）2019/02/05 15:00https://t.co/g2Rnm3gE2a,1
5,5,シップヘルスケアホールディングス,Sun Feb 03 17:34:17 +0000 2019,2/5 決算発表予定3360 シップヘルスケアホールディングス 3Q 15:003371 ソフトクリエイトホールディングス 3Q 15:003395 サンマルクホールディングス 3Q 15:003436 SUMCO 通期… https://t.co/lcW0ydmczg,0
6,6,シップヘルスケアホールディングス,Sat Feb 02 13:28:40 +0000 2019,｢シップ｣を入力したら予測候補１番目に｢シップヘルスケアホールディングス｣なにそれ(´・ω・`)?,0
7,7,シップヘルスケアホールディングス,Fri Feb 01 02:47:13 +0000 2019,3360 シップヘルスケアホールディングス株式会社自社株買い 上限：330万株、100億円（取得済）223万4600株、99億9983万円(取得期間平成30年11月28日～平成31年3月31日)https://t.co/7cQ9KYNkR5,3
8,8,シップヘルスケアホールディングス,Fri Feb 01 02:12:14 +0000 2019,いま見られている銘柄1. サンバイオ &lt;4592&gt;2. ブロードバンドタワー &lt;3776&gt;3. そーせいグループ &lt;4565&gt;4. 任天堂 &lt;7974&gt;5. ソースネクスト &lt;4344&gt;6. みずほフィナンシャルグル… https://t.co/F4P8yRo3fL,0
